CONTAINMENT_ZONE_NAME,LATITUDE,LONGITUDE,RADIUS,PINCODE,DISTRICT,STATE,COUNTRY
Parvati Darshan area 1,18.485861,73.84963599999999,500, 411001, Pune District, Maharashtra, India
"Parvati ,Dandekar bridge slum area",18.5004581,73.8479712,500, 411001, Pune District, Maharashtra, India
Parvati Sr no.133 Dandekar Bridge,18.5018824,73.84549129999999,500, 411001, Pune District, Maharashtra, India
"Sadashiv Peth ,Rajendra Nagar Slam area",18.5019018,73.8459496,500, 411001, Pune District, Maharashtra, India
"Sadashiv Peth ,Rajendra Nagar PMC Colony",18.5033213,73.8412709,500, 411001, Pune District, Maharashtra, India
"City area ,kasbaha Peth, Mangalwar  Peth ",18.5240566,73.8646945,500, 411001, Pune District, Maharashtra, India
"Parvati Dattawadi ,Gadgil Clinic area",18.4961383,73.8384476,500, 411001, Pune District, Maharashtra, India
"City area ,Ganesh Peth,Nana Peth ,Bhavani Peth,",18.5118195,73.8667203,500, 411001, Pune District, Maharashtra, India
"Citi area, Nana Peth, Bhavani Peth",18.5116074,73.8705748,500, 411001, Pune District, Maharashtra, India
"Citi area, Guruwar Peth ,Mahatma Phule Peth,Ghorpade Peth",18.5063909,73.8602841,500, 411002, Pune District, Maharashtra, India
"Pune station, Tadiwala road",18.53032,73.87486899999999,500, 411011, Pune District, Maharashtra, India
Ghorpadi Sr no.71 Pai Shreenath Nagar,18.5242385,73.90401609999999,500, 411001, Pune District, Maharashtra, India
"Ghorpadi Sr no. 54 ,Shivdatta Colony",18.5164554,73.9078734,500, 411001, Pune District, Maharashtra, India
"Ghorpadi Sr no.53,Pawar Enterprises",18.517721,73.906694,500, 411001, Pune District, Maharashtra, India
"Ghorpadi Sr no.15 Pai,Shaktin agar",18.5235518,73.906346,500, 411001, Pune District, Maharashtra, India
"Ghorpadi Sr no.47 Pai, Dhwale Wasti",18.5235518,73.906346,500, 411001, Pune District, Maharashtra, India
"Hadapsar Sr no.124 pai,282,282 Pai, Mundhwa Ghorpadi,Bhimnagar",18.4932481,73.93228599999999,500, 411028, Pune District, Maharashtra, India
Parvati Taljai Vasti 1,18.4749781,73.8505704,500, 411001, Pune District, Maharashtra, India
Parvati Taljai Vasti 2,18.478023,73.840436,500, 411001, Pune District, Maharashtra, India
"Parvati, Shiv darshan 2",18.4933361,73.8543107,500, 411001, Pune District, Maharashtra, India
"Dhankwadi ,Rajiv Gandhi Vasahat",18.4703162,73.85379689999999,500, 411001, Pune District, Maharashtra, India
"Parvati Aaranshwar ,Tawade Colony",18.4804254,73.8532105,500, 411001, Pune District, Maharashtra, India
"Parvati Sakhol Apartment ,Shau Collage road ,Near BSNL office",28.7040395,76.906932,500, 124507, Jhajjar, Haryana, India
"Dhankwadi ,Pratiksha Bangalo,Jagdish Society",18.4654546,73.85468209999999,500, 411046, Pune District, Maharashtra, India
"kartraj,Aayappa Temple ,Rajgad Colony",18.4529322,73.86523799999999,500, 411018, Pune District, Maharashtra, India
"Katraj, Shivshankar Colony ,Lane no. 5",18.4529322,73.86523799999999,500, 411018, Pune District, Maharashtra, India
"Ambegoa Bk, Sr no.8 Pai, Saileela Apartment",18.4356456,73.860102,500, 411046, Pune District, Maharashtra, India
"Bibvewadi, Ambedkar nagar, Market yard",18.4838622,73.86616459999999,500, 411001, Pune District, Maharashtra, India
Gultekdi dias plot,18.495765,73.86938800000001,500, 411037, Pune District, Maharashtra, India
"Gultekdi,  Meenatai Thakre Nagar",18.4877372,73.8704877,500, 411001, Pune District, Maharashtra, India
"Bibwewadi ,Appar Indira nagar",18.4584216,73.8694331,500, 411018, Pune District, Maharashtra, India
"Bibwewadi, Premnagar Vasahat",18.4830185,73.86267300000002,500, 411001, Pune District, Maharashtra, India
"Bibwewadi, Sr no.580 ,Hamal nagar",18.4807808,73.87127459999999,500, 411001, Pune District, Maharashtra, India
"Bibwewadi,Kothari Blogs,Bibwewadi otha Vasahat",18.4690213,73.8640944,500, 411001, Pune District, Maharashtra, India
"Bibwewadi ,Appar Indira nagar",18.4584216,73.8694331,500, 411018, Pune District, Maharashtra, India
"Yerawada ,Prabhag no 6",18.5454903,73.8886579,500, 411001, Pune District, Maharashtra, India
"Yerawada Sr no.191 Pai,Nagpur Chal area",18.5629553,73.89372709999999,500, 411001, Pune District, Maharashtra, India
"Yerawada, Aadarsh Indiranagar,Aalandi road",18.559076,73.8762064,500, 411001, Pune District, Maharashtra, India
"Hadapsar ,Ramnagar",18.5021335,73.918269,500, 411001, Pune District, Maharashtra, India
"Hadapsar,Ramtekdi",18.5040461,73.9161418,500, 411001, Pune District, Maharashtra, India
"Hadapsar,Gosavi wasti",18.5096028,73.9470036,500, 411028, Pune District, Maharashtra, India
"Hadapsar,Sayyadnagar 2",18.4971776,73.94075819999999,500, 411001, Pune District, Maharashtra, India
